,year,total_pop_15to64,black_pop_15to64,Black Alone US Pop,_merge
0,1990,52313.428480407776,6052.99840713603,12%,both
1,1991,52853.29659127111,6157.270149729213,,left_only
2,1992,53499.732080280344,6284.0576616756925,,left_only
3,1993,54126.187639375596,6400.336412870341,,left_only
4,1994,54786.28384835935,6524.151959222682,,left_only
5,1995,55501.57597961134,6654.2558139534885,,left_only
6,1996,56237.46447913348,6781.6690028671555,,left_only
7,1997,57069.18190506531,6920.322077094616,,left_only
8,1998,57896.42593182542,7055.520547945205,,left_only
9,1999,58703.25836253584,7186.642561325263,,left_only
10,2000,59512.34119146225,7308.848677922905,11%,both
11,2001,60281.83593501115,7427.77445046193,11%,both
12,2002,61018.25103536158,7546.36508442179,11%,both
13,2003,61679.54985664224,7658.294998407136,11%,both
14,2004,62423.22108951896,7795.273016884358,11%,both
15,2005,63187.0,7934.958585536795,11%,both
16,2006,63936.08442179038,8076.407136030583,12%,both
17,2007,64581.104491876395,8207.354890092387,12%,both
18,2008,65117.942019751514,8329.942656897101,12%,both
19,2009,65644.16820643518,8444.668365721567,12%,both
20,2010,66150.56291812679,8554.629499840714,12%,both
21,2011,66600.3278114049,8658.16502070723,12%,both
22,2012,66780.74705320166,8747.461293405544,12%,both
23,2013,67012.21503663587,8831.262822554954,12%,both
24,2014,67270.83593501116,8911.754380375916,12%,both
25,2015,67561.40235743868,8993.216310927046,12%,both
26,2016,67815.20133800573,9066.93437400446,12%,both
27,2017,67980.40777317616,9130.695444409048,12%,both
28,2018,68127.04587448233,9185.911755336094,12%,both
